record_id,race,education,income,utilitarian_rank,deontology_rank,virtue_rank,ethics_care_rank,contract_theory_rank,h_ethics_gains,h_ethics_loss,h_money_gains,h_money_loss,vac_ethics_gains,vac_ethics_loss,vac_money_gains,vac_money_loss,auc_ethics_gains,auc_ethics_loss,auc_money_gains,auc_money_loss
P1,White or Caucasian,Bachelor's degree,"$150,000 or more",2,3,4,5,1,0.125884312,0.583930005,4.486804503,6.092220054,0.892631165,0.841791153,0.872606049,0.507392456,0.3356,0.195,0.1787,0.2115
P2,White or Caucasian,"Some college, but no degree","$75,000-$99,999",1,2,3,4,5,0.061744602,0.664234269,2.329300413,8.908115234,0.952219752,0.791990559,0.768435201,-0.986189431,0.3911,0.2426,0.1992,0.1912
P3,White or Caucasian,Bachelor's degree,"Less than $25,000",1,5,2,4,3,0.439177081,0.401310794,1.726241125,2.409906564,0.910119413,0.980964568,0.909275037,0.357965869,0.2128,0.3735,0.2489,0.2659
P4,White or Caucasian,"Some college, but no degree","Less than $25,000",3,5,1,4,2,0.166925881,0.466121211,0.276862841,0.782085559,0.800686265,0.908935284,0.965459071,0.852830509,0.2873,0.407,0.5155,0.2143
P5,White or Caucasian,"Some college, but no degree","$25,000-$49,999",2,6,3,4,7,0.991070735,0.03337543,4.995601975,0.175804282,0.916747496,0.494098342,0.062043038,0.317497987,0.1556,0.7672,0.2276,0.5863
P6,White or Caucasian,Bachelor's degree,"$50,000-$74,999",1,5,2,4,3,0.16692588,1.27039121,0.846049572,0.86626208,0.800686265,0.932103665,0.974649765,0.981455937,0.2873,0.2582,0.3208,0.2747
P7,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$100,000-$149,999",1,5,2,3,4,0.006646247,0.656395167,2.937612076,1.279787791,0.851076689,0.967571679,0.846342703,0.847934544,0.4714,0.3514,0.2342,0.2108
P8,White or Caucasian,"Some college, but no degree","Less than $25,000",,,,,,0.802890863,0.227283446,4.714201256,0.65282044,0.873754013,0.903174887,0.433108013,-0.168563855,0.1477,0.5145,0.2045,0.458
P9,White or Caucasian,Associates or technical degree,"$75,000-$99,999",1,3,5,4,2,0.210394739,0.388379859,3.48682983,1.331096255,0.808198882,0.949547953,0.964924963,0.878703624,0.2631,0.3873,0.1696,0.2852
P10,White or Caucasian,Bachelor's degree,"$100,000-$149,999",3,1,4,5,2,0.252389298,0.488113609,0.980663943,1.091760684,0.886450561,0.229700275,0.987181067,0.985617695,0.2453,0.532,0.2884,0.2772
P11,White or Caucasian,Associates or technical degree,"$50,000-$74,999",4,2,1,5,3,0.291291388,0.26087152,2.160372313,1.226625635,0.762151598,0.962120736,0.907807988,0.831267319,0.2257,0.3992,0.2133,0.2957
P12,"White or Caucasian,Black or African American",Bachelor's degree,"$75,000-$99,999",1,3,2,5,4,0.282767641,0.057867932,0.577448582,1.291485527,0.835279158,0.392927453,0.859732945,0.939431163,0.2279,0.3729,0.4233,0.2734
P13,Asian,Bachelor's degree,"$75,000-$99,999",5,1,2,3,4,0.107468455,0.614753902,0.039116358,2.577282469,0.70793968,0.88781724,0.938817678,0.805517876,0.367,0.2604,0.8582,0.2425
P14,Black or African American,Associates or technical degree,"$75,000-$99,999",3,2,1,4,5,1.996924861,0.269924653,1.838880441,0.770073957,0.905593721,0.772723849,0.944289761,0.94265246,0.1246,0.458,0.1099,0.257
P15,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more",1,5,4,2,3,1.151769072,0.384313153,3.187733371,1.009781488,0.96265267,0.838281305,0.426212186,0.148639837,0.1432,0.4425,0.2476,0.3843
P16,White or Caucasian,Bachelor's degree,"Less than $25,000",4,5,1,6,7,0.20904052,0.735031741,1.036198379,0.964679017,0.683572287,0.933135654,0.700669802,0.915444292,0.2739,0.2444,0.364,0.3401
P17,Black or African American,Bachelor's degree,"$50,000-$74,999",2,3,4,5,1,0.273603034,0.583263042,0.8677197,1.179051502,0.525603086,0.941454079,0.739050278,0.967586916,0.2281,0.335,0.3411,0.2372
